libraries loaded!
config file loaded!
app.training_policy=results/simpleds-policy.json
app.training_output=results/simpleds-output.txt
app.test_policy=results/simpleds-policy.json
configurations defined!
brain created!
Connected to server!
Initialised agent!
Running in training mode!
[steps avg.reward epsilon avg.actions dialogues time.hrs]
15100 0.5381 0.8499 7.00 15100 0.0469
15200 0.5322 0.8489 7.00 15200 0.0472
15300 0.5372 0.8479 7.00 15300 0.0475
15400 0.5332 0.8469 7.00 15400 0.0478
15500 0.5431 0.8459 7.00 15500 0.0481
15600 0.5284 0.8449 7.00 15600 0.0485
15700 0.5169 0.8439 7.00 15700 0.0488
15800 0.5143 0.8429 7.00 15800 0.0491
15900 0.5299 0.8419 7.00 15900 0.0494
16000 0.5400 0.8409 7.00 16000 0.0497
16100 0.5239 0.8398 7.00 16100 0.0500
16200 0.5278 0.8388 7.00 16200 0.0503
16300 0.5287 0.8378 7.00 16300 0.0506
16400 0.5109 0.8368 7.00 16400 0.0509
16500 0.4862 0.8358 7.00 16500 0.0512
16600 0.5079 0.8348 7.00 16600 0.0515
16700 0.5235 0.8338 7.00 16700 0.0519
16800 0.5175 0.8328 7.00 16800 0.0522
16900 0.5099 0.8318 7.00 16900 0.0525
17000 0.5137 0.8308 7.00 17000 0.0528
17100 0.5284 0.8298 7.00 17100 0.0531
17200 0.5220 0.8288 7.00 17200 0.0534
17300 0.5246 0.8278 7.00 17300 0.0537
17400 0.5198 0.8268 7.00 17400 0.0540
17500 0.5474 0.8258 7.00 17500 0.0543
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
17600 0.5383 0.8248 7.00 17600 0.0546
17700 0.5223 0.8238 7.00 17700 0.0549
17800 0.5180 0.8228 7.00 17800 0.0552
17900 0.5238 0.8218 7.00 17900 0.0555
18000 0.5197 0.8208 7.00 18000 0.0558
18100 0.5096 0.8198 7.00 18100 0.0562
18200 0.5356 0.8188 7.00 18200 0.0565
18300 0.5109 0.8178 7.00 18300 0.0568
18400 0.5391 0.8168 7.00 18400 0.0571
18500 0.5246 0.8158 7.00 18500 0.0574
18600 0.5290 0.8148 7.00 18600 0.0577
18700 0.5471 0.8138 7.00 18700 0.0580
18800 0.5723 0.8128 7.00 18800 0.0583
18900 0.5608 0.8118 7.00 18900 0.0586
19000 0.5562 0.8108 7.00 19000 0.0589
19100 0.5579 0.8098 7.00 19100 0.0592
19200 0.5362 0.8088 7.00 19200 0.0595
19300 0.5621 0.8078 7.00 19300 0.0598
19400 0.5619 0.8068 7.00 19400 0.0601
19500 0.5690 0.8058 7.00 19500 0.0604
19600 0.5611 0.8048 7.00 19600 0.0608
19700 0.5576 0.8038 7.00 19700 0.0611
19800 0.5361 0.8028 7.00 19800 0.0614
19900 0.5618 0.8018 7.00 19900 0.0617
20000 0.5583 0.8008 7.00 20000 0.0620
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
20100 0.5727 0.7998 7.00 20100 0.0623
20200 0.5682 0.7988 7.00 20200 0.0626
20300 0.5562 0.7978 7.00 20300 0.0629
20400 0.5464 0.7968 7.00 20400 0.0632
20500 0.5410 0.7958 7.00 20500 0.0635
20600 0.5658 0.7948 7.00 20600 0.0638
20700 0.5513 0.7938 7.00 20700 0.0641
20800 0.5677 0.7928 7.00 20800 0.0644
20900 0.5395 0.7918 7.00 20900 0.0648
21000 0.5400 0.7908 7.00 21000 0.0651
21100 0.5283 0.7898 7.00 21100 0.0654
21200 0.5289 0.7888 7.00 21200 0.0657
21300 0.5359 0.7878 7.00 21300 0.0660
21400 0.5283 0.7868 7.00 21400 0.0663
21500 0.5313 0.7858 7.00 21500 0.0666
21600 0.5163 0.7848 7.00 21600 0.0669
21700 0.5143 0.7838 7.00 21700 0.0672
21800 0.5235 0.7828 7.00 21800 0.0675
21900 0.5236 0.7818 7.00 21900 0.0678
22000 0.5114 0.7808 7.00 22000 0.0681
22100 0.5164 0.7798 7.00 22100 0.0684
22200 0.5083 0.7788 7.00 22200 0.0688
22300 0.5142 0.7778 7.00 22300 0.0691
22400 0.5408 0.7768 7.00 22400 0.0694
22500 0.5388 0.7758 7.00 22500 0.0697
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
22600 0.5599 0.7748 7.00 22600 0.0700
22700 0.5725 0.7738 7.00 22700 0.0703
22800 0.5385 0.7728 7.00 22800 0.0706
22900 0.5437 0.7718 7.00 22900 0.0709
23000 0.5594 0.7708 7.00 23000 0.0712
